,feature_set,case,num_zero
258,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, 1, -1)",0.0
259,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, 1, 0)",0.0
260,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, -1, 1, 1)",0.0
261,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, -1, -1)",0.0
262,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, -1, 0)",0.0
263,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, -1, 1)",0.0
264,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, 0, -1)",-10.0
265,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, 0, 0)",-10.0
266,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, 0, 1)",-10.0
267,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, 1, -1)",0.0
268,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, 1, 0)",0.0
269,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 0, 1, 1)",0.0
270,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 1, -1, -1)",0.0
271,Rv0054+Rv0158+Rv0880+Rv3160c+Rv3414c,"(1, 0, 1, -1, 0)",0.0
