TF,Gene,Input
Rv0047c,Rv1164,1
Rv0047c,Rv1165,1
Rv0047c,Rv1175c,1
Rv0047c,Rv1176c,1
Rv0047c,Rv1180,1
Rv0047c,Rv1184c,1
Rv0047c,Rv1203c,1
Rv0047c,Rv1204c,1
Rv0047c,Rv1205,1
Rv0047c,Rv1222,1
Rv0047c,Rv1243c,1
Rv0047c,Rv1244,1
Rv0047c,Rv1248c,1
Rv0047c,Rv1277,1
Rv0047c,Rv1278,1
Rv0047c,Rv1279,1
Rv0047c,Rv1314c,1
Rv0047c,Rv1315,1
Rv0047c,Rv1331,1
Rv0047c,Rv1332,1
Rv0047c,Rv1333,1
Rv0047c,Rv1334,1
Rv0047c,Rv1335,1
Rv0047c,Rv1336,1
Rv0047c,Rv1337,1
Rv0047c,Rv1338,1
Rv0047c,Rv1339,1
Rv0047c,Rv1340,1
